,X,Y,Azimuth
0,84,52,14
1,148,24,332
2,84,100,198
3,16,168,196
4,128,144,189
5,128,92,284
6,28,76,64
7,8,204,167
8,104,20,254
9,104,140,156
10,92,4,217
11,144,52,142
12,124,68,92
13,124,216,270
14,52,148,280
15,16,144,277
16,80,60,268
17,32,132,242
18,4,152,20
19,68,152,264
20,112,208,243
21,72,20,101
22,24,32,128
23,20,84,331
24,36,172,25
25,64,36,190
26,96,172,348
27,76,64,130
28,64,180,148
29,12,192,127
30,116,120,127
31,100,156,50
32,44,152,332
33,112,0,121
34,80,216,190
35,116,176,132
36,132,188,225
37,20,12,330
38,120,112,265
39,124,112,325
40,8,60,90
41,36,216,217
42,92,152,46
43,76,84,307
44,48,92,103
45,80,148,44
46,140,148,35
47,60,104,242
48,120,52,184
49,52,76,25
