,X,Y,Azimuth
0,19,167,14
1,67,191,332
2,67,179,198
3,83,127,196
4,75,47,189
5,183,127,284
6,159,211,64
7,143,103,167
8,203,227,254
9,15,63,156
10,91,67,217
11,187,107,142
12,131,147,92
13,87,107,270
14,11,227,280
15,187,3,277
16,239,199,268
17,207,231,242
18,19,155,20
19,211,71,264
20,219,191,243
21,183,199,101
22,87,231,128
23,123,3,331
24,87,163,25
25,15,123,190
26,123,219,348
27,35,159,130
28,179,127,148
29,223,15,127
30,35,43,127
31,235,103,50
32,175,67,332
33,195,231,121
34,223,147,190
35,207,179,132
36,179,3,225
37,207,87,330
38,243,79,265
39,95,223,325
40,211,115,90
41,131,167,217
42,47,27,46
43,155,63,307
44,211,211,103
45,107,183,44
46,71,75,35
47,103,103,242
48,227,31,184
49,119,51,25
