,X,Y,Azimuth
0,117,41,14
1,213,13,332
2,121,81,198
3,25,133,196
4,185,113,189
5,185,73,284
6,41,57,64
7,13,165,167
8,149,13,254
9,149,109,156
10,137,1,217
11,209,41,142
12,181,53,92
13,181,173,270
14,73,117,280
15,25,113,277
16,117,45,268
17,45,105,242
18,9,121,20
19,97,121,264
20,161,165,243
21,101,13,101
22,37,25,128
23,29,65,331
24,53,137,25
25,89,25,190
26,137,137,348
27,113,49,130
28,93,145,148
29,17,153,127
30,169,97,127
31,145,125,50
32,65,121,332
33,165,-3,121
34,117,173,190
35,169,141,132
36,193,149,225
37,29,5,330
38,173,89,265
39,177,89,325
40,13,45,90
41,53,173,217
42,133,121,46
43,109,65,307
44,69,73,103
45,117,117,44
46,205,117,35
47,85,81,242
48,173,41,184
49,73,57,25
