,X,Y,Azimuth
0,76,64,14
1,56,152,332
2,24,188,198
3,104,40,196
4,144,120,189
5,16,36,284
6,44,52,64
7,8,208,167
8,64,76,254
9,144,80,156
10,20,108,217
11,60,176,142
12,68,152,92
13,120,4,270
14,140,16,280
15,132,196,277
16,104,24,268
17,144,188,242
18,148,164,20
19,100,104,264
20,72,44,243
21,148,128,101
22,124,108,128
23,68,16,331
24,4,216,25
25,20,100,190
26,136,112,348
27,40,120,130
28,132,80,148
29,72,108,127
30,4,64,127
31,20,52,50
32,76,108,332
33,108,12,121
34,128,148,190
35,104,196,132
36,32,112,225
37,116,92,330
38,68,188,265
39,104,144,325
40,80,176,90
41,104,120,217
42,68,180,46
43,40,132,307
44,40,104,103
45,116,96,44
46,40,76,35
47,52,108,242
48,92,96,184
49,12,132,25
