,X,Y,Azimuth
0,128,51,14
1,228,23,332
2,132,95,198
3,24,155,196
4,196,131,189
5,196,87,284
6,40,71,64
7,12,191,167
8,160,23,254
9,160,131,156
10,144,7,217
11,224,51,142
12,192,67,92
13,192,199,270
14,76,139,280
15,24,131,277
16,124,59,268
17,44,123,242
18,8,143,20
19,104,143,264
20,172,191,243
21,108,19,101
22,36,35,128
23,32,79,331
24,56,159,25
25,96,35,190
26,144,159,348
27,120,63,130
28,100,167,148
29,16,179,127
30,180,111,127
31,156,143,50
32,68,139,332
33,176,3,121
34,124,199,190
35,180,163,132
36,204,171,225
37,32,15,330
38,184,103,265
39,192,107,325
40,12,55,90
41,56,199,217
42,140,139,46
43,116,79,307
44,72,87,103
45,124,135,44
46,220,135,35
47,88,95,242
48,184,51,184
49,80,71,25
