,X,Y,Azimuth
0,94,38,14
1,166,18,332
2,94,70,198
3,18,114,196
4,142,98,189
5,142,66,284
6,30,54,64
7,10,138,167
8,114,14,254
9,118,94,156
10,106,6,217
11,162,38,142
12,138,46,92
13,138,146,270
14,58,102,280
15,22,98,277
16,90,42,268
17,34,90,242
18,10,106,20
19,74,102,264
20,126,142,243
21,82,14,101
22,30,22,128
23,26,58,331
24,42,118,25
25,70,26,190
26,106,118,348
27,86,46,130
28,74,122,148
29,14,130,127
30,130,82,127
31,114,106,50
32,50,102,332
33,126,2,121
34,90,146,190
35,130,118,132
36,150,126,225
37,26,10,330
38,134,78,265
39,138,78,325
40,14,42,90
41,42,146,217
42,102,102,46
43,86,58,307
44,54,66,103
45,90,98,44
46,158,102,35
47,66,70,242
48,134,38,184
49,58,54,25
