,X,Y,Azimuth
0,179,73,14
1,323,29,332
2,187,137,198
3,35,233,196
4,279,197,189
5,279,129,284
6,59,105,64
7,19,285,167
8,223,25,254
9,227,193,156
10,207,5,217
11,319,73,142
12,271,93,92
13,275,301,270
14,111,205,280
15,39,197,277
16,175,81,268
17,67,185,242
18,15,213,20
19,147,213,264
20,243,289,243
21,155,25,101
22,55,45,128
23,47,113,331
24,79,241,25
25,139,49,190
26,207,241,348
27,171,89,130
28,143,249,148
29,23,269,127
30,255,165,127
31,219,217,50
32,99,209,332
33,251,1,121
34,175,301,190
35,259,245,132
36,291,261,225
37,47,13,330
38,263,153,265
39,271,157,325
40,23,81,90
41,79,301,217
42,199,209,46
43,163,113,307
44,103,129,103
45,179,205,44
46,311,205,35
47,127,141,242
48,263,69,184
49,111,105,25
