,X,Y,Azimuth
0,167,150,14
1,299,62,332
2,171,282,198
3,35,470,196
4,259,398,189
5,259,262,284
6,55,214,64
7,19,574,167
8,207,58,254
9,211,390,156
10,191,14,217
11,295,146,142
12,255,190,92
13,255,602,270
14,103,414,280
15,35,398,277
16,163,170,268
17,63,374,242
18,11,426,20
19,135,426,264
20,227,578,243
21,143,54,101
22,51,94,128
23,43,230,331
24,75,486,25
25,127,98,190
26,191,482,348
27,159,186,130
28,131,498,148
29,23,538,127
30,235,338,127
31,203,434,50
32,91,422,332
33,231,6,121
34,163,602,190
35,239,490,132
36,271,522,225
37,43,34,330
38,243,310,265
39,251,318,325
40,19,162,90
41,75,606,217
42,187,418,46
43,155,234,307
44,95,262,103
45,163,410,44
46,287,410,35
47,119,286,242
48,243,146,184
49,107,214,25
