,X,Y,Azimuth
0,55,46,14
1,43,114,332
2,19,146,198
3,71,30,196
4,99,94,189
5,15,26,284
6,31,38,64
7,7,158,167
8,47,54,254
9,99,62,156
10,19,82,217
11,43,134,142
12,47,114,92
13,83,2,270
14,95,10,280
15,91,150,277
16,71,18,268
17,99,142,242
18,103,126,20
19,71,78,264
20,51,34,243
21,103,98,101
22,87,82,128
23,47,10,331
24,7,166,25
25,15,74,190
26,95,86,348
27,31,90,130
28,91,62,148
29,51,82,127
30,7,46,127
31,19,38,50
32,51,82,332
33,75,6,121
34,87,114,190
35,71,150,132
36,27,86,225
37,79,70,330
38,47,142,265
39,71,110,325
40,55,134,90
41,71,90,217
42,51,138,46
43,31,102,307
44,27,82,103
45,79,70,44
46,27,58,35
47,39,82,242
48,63,70,184
49,11,102,25
