,X,Y,Azimuth
0,214,114,14
1,162,274,332
2,66,342,198
3,294,74,196
4,402,222,189
5,38,70,284
6,122,98,64
7,18,374,167
8,182,134,254
9,406,146,156
10,62,198,217
11,170,318,142
12,190,274,92
13,334,10,270
14,402,30,280
15,370,358,277
16,294,46,268
17,414,338,242
18,422,298,20
19,286,186,264
20,202,82,243
21,418,230,101
22,354,194,128
23,186,30,331
24,14,394,25
25,54,178,190
26,390,202,348
27,114,214,130
28,378,146,148
29,198,194,127
30,10,114,127
31,58,94,50
32,210,198,332
33,302,22,121
34,358,274,190
35,294,354,132
36,90,202,225
37,334,166,330
38,190,338,265
39,290,262,325
40,226,318,90
41,294,214,217
42,194,330,46
43,114,242,307
44,106,190,103
45,330,170,44
46,106,138,35
47,150,198,242
48,254,170,184
49,30,242,25
