,X,Y,Azimuth
0,14,106,14
1,46,122,332
2,46,114,198
3,54,82,196
4,50,30,189
5,122,82,284
6,106,134,64
7,94,66,167
8,134,146,254
9,10,42,156
10,62,42,217
11,126,70,142
12,86,94,92
13,58,70,270
14,6,146,280
15,126,6,277
16,162,126,268
17,138,146,242
18,14,102,20
19,142,46,264
20,146,122,243
21,122,126,101
22,58,146,128
23,82,6,331
24,58,102,25
25,10,78,190
26,82,138,348
27,22,102,130
28,122,82,148
29,150,14,127
30,26,26,127
31,158,66,50
32,118,42,332
33,130,146,121
34,150,94,190
35,138,114,132
36,118,6,225
37,138,58,330
38,162,50,265
39,66,142,325
40,142,74,90
41,90,106,217
42,30,18,46
43,102,42,307
44,142,134,103
45,70,118,44
46,46,50,35
47,70,66,242
48,150,22,184
49,82,34,25
