,X,Y,Azimuth
0,166,99,14
1,126,239,332
2,54,299,198
3,230,67,196
4,314,191,189
5,30,59,284
6,94,83,64
7,18,327,167
8,142,119,254
9,318,131,156
10,46,171,217
11,134,279,142
12,150,239,92
13,262,7,270
14,314,27,280
15,290,311,277
16,230,39,268
17,322,295,242
18,330,259,20
19,222,163,264
20,158,71,243
21,326,199,101
22,278,171,128
23,146,27,331
24,14,343,25
25,42,155,190
26,302,175,348
27,90,187,130
28,294,127,148
29,154,171,127
30,10,99,127
31,46,83,50
32,162,171,332
33,234,19,121
34,278,239,190
35,230,307,132
36,70,175,225
37,258,147,330
38,150,295,265
39,226,227,325
40,178,279,90
41,230,187,217
42,154,287,46
43,90,211,307
44,86,167,103
45,258,147,44
46,86,123,35
47,118,171,242
48,198,151,184
49,26,211,25
