,X,Y,Azimuth
0,143,51,14
1,259,19,332
2,147,95,198
3,31,159,196
4,223,135,189
5,223,87,284
6,47,71,64
7,15,199,167
8,179,19,254
9,183,135,156
10,163,3,217
11,255,51,142
12,219,63,92
13,219,207,270
14,87,143,280
15,31,135,277
16,139,55,268
17,55,127,242
18,11,147,20
19,119,147,264
20,195,199,243
21,123,15,101
22,43,31,128
23,39,79,331
24,63,167,25
25,111,31,190
26,167,167,348
27,135,63,130
28,115,171,148
29,19,183,127
30,203,115,127
31,175,147,50
32,79,147,332
33,199,-1,121
34,143,207,190
35,207,167,132
36,231,179,225
37,39,11,330
38,211,107,265
39,215,107,325
40,19,55,90
41,67,207,217
42,159,143,46
43,131,79,307
44,83,91,103
45,143,139,44
46,247,139,35
47,103,99,242
48,211,47,184
49,91,71,25
