,X,Y,Azimuth
0,155,174,14
1,119,422,332
2,51,526,198
3,211,118,196
4,291,338,189
5,31,106,284
6,87,150,64
7,15,574,167
8,131,210,254
9,291,230,156
10,47,302,217
11,123,490,142
12,139,422,92
13,243,14,270
14,287,46,280
15,267,550,277
16,211,70,268
17,295,518,242
18,303,462,20
19,207,286,264
20,147,126,243
21,303,354,101
22,255,302,128
23,135,46,331
24,15,606,25
25,39,274,190
26,279,310,348
27,83,330,130
28,271,226,148
29,143,302,127
30,11,178,127
31,43,146,50
32,151,306,332
33,215,34,121
34,255,418,190
35,211,542,132
36,67,310,225
37,239,258,330
38,139,522,265
39,207,402,325
40,163,490,90
41,211,334,217
42,143,506,46
43,83,370,307
44,79,294,103
45,239,262,44
46,79,214,35
47,111,306,242
48,183,266,184
49,23,374,25
