,X,Y,Azimuth
0,31,410,14
1,135,462,332
2,131,434,198
3,167,314,196
4,151,114,189
5,375,314,284
6,327,510,64
7,291,246,167
8,419,550,254
9,27,150,156
10,183,162,217
11,387,262,142
12,267,354,92
13,179,262,270
14,15,554,280
15,387,14,277
16,499,486,268
17,431,562,242
18,31,382,20
19,435,174,264
20,455,462,243
21,375,478,101
22,171,558,128
23,255,14,331
24,175,394,25
25,27,294,190
26,251,526,348
27,67,386,130
28,371,306,148
29,463,42,127
30,67,102,127
31,487,254,50
32,363,166,332
33,407,558,121
34,463,362,190
35,431,430,132
36,367,14,225
37,431,214,330
38,503,190,265
39,199,538,325
40,435,282,90
41,271,402,217
42,91,62,46
43,319,150,307
44,439,510,103
45,215,446,44
46,143,186,35
47,207,254,242
48,467,78,184
49,247,122,25
