,X,Y,Azimuth
0,127,67,14
1,99,163,332
2,43,203,198
3,175,43,196
4,239,131,189
5,27,39,284
6,71,55,64
7,15,219,167
8,111,79,254
9,239,87,156
10,39,115,217
11,103,187,142
12,115,163,92
13,199,3,270
14,235,15,280
15,219,211,277
16,175,27,268
17,243,199,242
18,251,175,20
19,171,111,264
20,119,47,243
21,247,135,101
22,211,115,128
23,111,15,331
24,11,231,25
25,35,103,190
26,231,119,348
27,71,127,130
28,223,87,148
29,119,115,127
30,7,67,127
31,35,55,50
32,123,115,332
33,179,11,121
34,211,159,190
35,175,207,132
36,55,119,225
37,195,99,330
38,115,199,265
39,171,151,325
40,135,187,90
41,175,127,217
42,115,195,46
43,71,143,307
44,67,111,103
45,195,99,44
46,67,83,35
47,91,115,242
48,151,99,184
49,19,143,25
