,X,Y,Azimuth
0,24,414,14
1,108,466,332
2,104,438,198
3,132,318,196
4,120,114,189
5,300,318,284
6,264,518,64
7,232,250,167
8,336,558,254
9,20,154,156
10,148,166,217
11,308,266,142
12,212,362,92
13,140,266,270
14,8,562,280
15,308,14,277
16,400,494,268
17,344,570,242
18,24,386,20
19,348,178,264
20,364,466,243
21,300,486,101
22,136,566,128
23,204,14,331
24,136,398,25
25,20,298,190
26,200,534,348
27,52,394,130
28,296,310,148
29,368,42,127
30,52,102,127
31,388,258,50
32,292,166,332
33,324,566,121
34,368,366,190
35,344,434,132
36,292,14,225
37,344,214,330
38,404,194,265
39,156,546,325
40,348,286,90
41,216,410,217
42,68,66,46
43,256,154,307
44,348,518,103
45,172,454,44
46,112,190,35
47,164,258,242
48,372,82,184
49,196,122,25
