,X,Y,Azimuth
0,22,251,14
1,86,283,332
2,86,263,198
3,106,191,196
4,98,67,189
5,238,191,284
6,210,311,64
7,186,151,167
8,266,339,254
9,18,91,156
10,118,99,217
11,246,159,142
12,170,219,92
13,114,159,270
14,10,339,280
15,246,7,277
16,318,299,268
17,274,343,242
18,22,231,20
19,278,107,264
20,290,283,243
21,238,291,101
22,110,343,128
23,162,7,331
24,110,239,25
25,18,179,190
26,162,323,348
27,42,235,130
28,238,187,148
29,294,27,127
30,46,63,127
31,310,155,50
32,234,99,332
33,258,343,121
34,294,219,190
35,274,263,132
36,234,7,225
37,274,131,330
38,322,115,265
39,126,331,325
40,278,171,90
41,174,247,217
42,58,39,46
43,202,91,307
44,278,311,103
45,138,275,44
46,90,115,35
47,134,155,242
48,298,47,184
49,158,75,25
