,X,Y,Azimuth
0,12,147,14
1,60,163,332
2,60,155,198
3,76,111,196
4,68,43,189
5,168,111,284
6,148,183,64
7,128,91,167
8,188,195,254
9,12,55,156
10,84,59,217
11,172,95,142
12,120,127,92
13,80,95,270
14,8,199,280
15,172,7,277
16,224,175,268
17,192,199,242
18,16,135,20
19,192,63,264
20,204,163,243
21,168,171,101
22,76,199,128
23,112,7,331
24,76,139,25
25,12,107,190
26,112,187,348
27,28,139,130
28,164,111,148
29,208,19,127
30,32,39,127
31,216,91,50
32,164,59,332
33,180,199,121
34,208,131,190
35,192,155,132
36,164,7,225
37,192,79,330
38,224,71,265
39,88,191,325
40,196,103,90
41,120,143,217
42,40,23,46
43,144,55,307
44,196,183,103
45,96,159,44
46,64,67,35
47,92,91,242
48,208,31,184
49,108,47,25
