,X,Y,Azimuth
0,19,442,14
1,83,498,332
2,79,466,198
3,99,338,196
4,91,122,189
5,223,338,284
6,195,550,64
7,171,266,167
8,247,594,254
9,15,162,156
10,111,174,217
11,227,282,142
12,155,382,92
13,107,282,270
14,11,598,280
15,227,14,277
16,291,522,268
17,251,606,242
18,23,410,20
19,255,190,264
20,267,494,243
21,219,514,101
22,103,602,128
23,151,14,331
24,103,426,25
25,19,318,190
26,151,566,348
27,39,418,130
28,219,330,148
29,271,46,127
30,43,110,127
31,287,274,50
32,215,178,332
33,239,602,121
34,271,390,190
35,251,462,132
36,215,14,225
37,251,230,330
38,295,206,265
39,119,582,325
40,255,306,90
41,159,434,217
42,55,70,46
43,187,162,307
44,259,550,103
45,127,482,44
46,87,202,35
47,123,274,242
48,275,86,184
49,147,130,25
