,X,Y,Azimuth
0,8,287,14
1,36,323,332
2,36,303,198
3,44,219,196
4,40,79,189
5,96,219,284
6,84,359,64
7,76,175,167
8,108,387,254
9,8,107,156
10,48,115,217
11,100,183,142
12,68,251,92
13,48,183,270
14,4,391,280
15,100,11,277
16,128,343,268
17,112,395,242
18,8,267,20
19,112,123,264
20,120,323,243
21,96,335,101
22,44,395,128
23,68,11,331
24,44,275,25
25,8,207,190
26,64,371,348
27,16,271,130
28,96,215,148
29,120,31,127
30,20,71,127
31,128,179,50
32,96,115,332
33,104,391,121
34,120,255,190
35,112,303,132
36,96,11,225
37,112,151,330
38,132,135,265
39,52,379,325
40,112,199,90
41,72,283,217
42,24,43,46
43,84,107,307
44,112,359,103
45,56,315,44
46,36,131,35
47,56,179,242
48,120,55,184
49,64,87,25
