,X,Y,Azimuth
0,137,102,14
1,245,42,332
2,141,194,198
3,25,322,196
4,213,274,189
5,213,178,284
6,45,146,64
7,13,398,167
8,169,38,254
9,173,270,156
10,157,10,217
11,241,102,142
12,205,130,92
13,205,414,270
14,85,286,280
15,29,274,277
16,133,114,268
17,49,258,242
18,9,294,20
19,109,294,264
20,185,398,243
21,117,34,101
22,41,66,128
23,33,158,331
24,57,334,25
25,105,66,190
26,157,334,348
27,129,126,130
28,109,346,148
29,17,370,127
30,193,230,127
31,165,298,50
32,73,294,332
33,189,2,121
34,133,418,190
35,193,338,132
36,221,362,225
37,33,22,330
38,197,214,265
39,205,218,325
40,17,110,90
41,61,418,217
42,153,290,46
43,125,158,307
44,77,182,103
45,133,282,44
46,233,282,35
47,97,198,242
48,201,98,184
49,85,146,25
