,X,Y,Azimuth
0,10,123,14
1,34,139,332
2,34,131,198
3,38,95,196
4,38,35,189
5,86,95,284
6,74,155,64
7,66,75,167
8,94,171,254
9,10,47,156
10,42,47,217
11,90,79,142
12,62,107,92
13,42,79,270
14,6,171,280
15,90,3,277
16,114,147,268
17,98,171,242
18,10,115,20
19,98,51,264
20,102,139,243
21,86,147,101
22,42,171,128
23,58,3,331
24,42,119,25
25,10,91,190
26,58,163,348
27,18,119,130
28,86,95,148
29,106,11,127
30,18,31,127
31,110,75,50
32,82,51,332
33,94,171,121
34,106,111,190
35,98,131,132
36,82,3,225
37,98,63,330
38,114,59,265
39,46,167,325
40,98,87,90
41,62,123,217
42,22,19,46
43,74,47,307
44,98,155,103
45,50,135,44
46,34,55,35
47,50,79,242
48,106,23,184
49,58,35,25
