,X,Y,Azimuth
0,26,286,14
1,110,322,332
2,110,302,198
3,138,218,196
4,126,78,189
5,306,218,284
6,270,358,64
7,238,174,167
8,342,386,254
9,22,106,156
10,150,114,217
11,318,182,142
12,218,250,92
13,146,182,270
14,10,390,280
15,318,10,277
16,406,342,268
17,350,394,242
18,26,266,20
19,354,122,264
20,374,322,243
21,306,334,101
22,142,394,128
23,210,10,331
24,142,274,25
25,22,206,190
26,206,370,348
27,54,270,130
28,302,214,148
29,378,30,127
30,58,70,127
31,398,178,50
32,298,114,332
33,334,390,121
34,378,254,190
35,350,302,132
36,302,10,225
37,350,150,330
38,410,134,265
39,162,378,325
40,358,198,90
41,222,282,217
42,74,42,46
43,262,106,307
44,358,358,103
45,178,314,44
46,118,130,35
47,170,178,242
48,382,54,184
49,202,86,25
