,X,Y,Azimuth
0,16,211,14
1,68,239,332
2,68,223,198
3,84,163,196
4,76,59,189
5,192,163,284
6,168,267,64
7,148,127,167
8,212,287,254
9,12,79,156
10,92,83,217
11,196,135,142
12,136,183,92
13,88,135,270
14,8,287,280
15,196,7,277
16,252,251,268
17,216,291,242
18,16,199,20
19,220,91,264
20,232,239,243
21,188,247,101
22,88,291,128
23,128,7,331
24,88,203,25
25,12,151,190
26,128,275,348
27,32,199,130
28,188,159,148
29,232,23,127
30,36,51,127
31,248,131,50
32,184,83,332
33,204,291,121
34,232,187,190
35,216,223,132
36,184,7,225
37,216,111,330
38,256,99,265
39,100,279,325
40,220,147,90
41,136,207,217
42,44,31,46
43,160,79,307
44,220,267,103
45,108,231,44
46,72,95,35
47,104,131,242
48,236,39,184
49,124,63,25
