,X,Y,Azimuth
0,132,83,14
1,100,203,332
2,40,255,198
3,180,55,196
4,248,163,189
5,24,51,284
6,76,71,64
7,12,279,167
8,112,99,254
9,252,111,156
10,36,147,217
11,104,235,142
12,116,203,92
13,208,7,270
14,248,23,280
15,232,263,277
16,184,35,268
17,256,251,242
18,264,223,20
19,176,139,264
20,124,59,243
21,260,171,101
22,220,143,128
23,116,19,331
24,8,291,25
25,32,131,190
26,240,147,348
27,72,159,130
28,232,107,148
29,124,143,127
30,4,83,127
31,36,71,50
32,128,147,332
33,184,15,121
34,220,203,190
35,184,263,132
36,56,151,225
37,204,123,330
38,116,251,265
39,180,191,325
40,140,235,90
41,184,159,217
42,120,243,46
43,72,179,307
44,68,143,103
45,204,127,44
46,68,103,35
47,92,147,242
48,160,127,184
49,20,179,25
