,X,Y,Azimuth
0,29,427,14
1,129,479,332
2,125,451,198
3,161,327,196
4,145,119,189
5,361,327,284
6,317,535,64
7,281,259,167
8,405,575,254
9,21,159,156
10,177,171,217
11,373,275,142
12,257,371,92
13,169,275,270
14,13,579,280
15,373,15,277
16,481,507,268
17,413,587,242
18,29,399,20
19,421,183,264
20,441,479,243
21,361,499,101
22,165,583,128
23,245,15,331
24,165,411,25
25,25,307,190
26,241,551,348
27,61,403,130
28,357,319,148
29,445,47,127
30,65,107,127
31,469,267,50
32,353,171,332
33,393,583,121
34,445,379,190
35,413,447,132
36,353,15,225
37,413,223,330
38,485,199,265
39,189,563,325
40,421,295,90
41,261,419,217
42,85,67,46
43,309,159,307
44,425,535,103
45,209,467,44
46,137,195,35
47,201,267,242
48,453,83,184
49,237,127,25
