,X,Y,Azimuth
0,116,59,14
1,88,139,332
2,36,175,198
3,160,39,196
4,220,115,189
5,20,39,284
6,64,51,64
7,12,191,167
8,100,71,254
9,224,75,156
10,32,103,217
11,92,163,142
12,104,139,92
13,184,7,270
14,220,19,280
15,204,183,277
16,160,27,268
17,224,171,242
18,232,151,20
19,156,95,264
20,108,43,243
21,228,119,101
22,192,99,128
23,104,19,331
24,8,199,25
25,28,91,190
26,212,103,348
27,64,111,130
28,204,75,148
29,108,99,127
30,4,59,127
31,32,51,50
32,116,103,332
33,164,15,121
34,196,139,190
35,160,179,132
36,48,103,225
37,180,87,330
38,104,171,265
39,160,135,325
40,124,163,90
41,160,111,217
42,108,167,46
43,64,123,307
44,60,99,103
45,180,87,44
46,60,71,35
47,84,103,242
48,140,87,184
49,16,123,25
