,X,Y,Azimuth
0,23,217,14
1,87,245,332
2,87,233,198
3,107,165,196
4,99,57,189
5,239,169,284
6,207,273,64
7,183,133,167
8,267,297,254
9,19,81,156
10,119,85,217
11,247,137,142
12,167,189,92
13,115,141,270
14,11,297,280
15,247,5,277
16,315,261,268
17,271,301,242
18,23,205,20
19,275,93,264
20,287,245,243
21,235,257,101
22,111,301,128
23,163,5,331
24,111,209,25
25,19,157,190
26,159,281,348
27,43,205,130
28,235,165,148
29,291,21,127
30,47,53,127
31,307,133,50
32,231,85,332
33,259,301,121
34,291,193,190
35,271,229,132
36,231,5,225
37,271,113,330
38,319,101,265
39,127,289,325
40,275,149,90
41,171,217,217
42,59,33,46
43,203,81,307
44,279,273,103
45,139,241,44
46,91,97,35
47,135,137,242
48,295,41,184
49,155,65,25
