,X,Y,Azimuth
0,66,39,14
1,114,15,332
2,66,79,198
3,14,131,196
4,102,111,189
5,102,75,284
6,22,59,64
7,10,163,167
8,82,15,254
9,82,111,156
10,74,3,217
11,114,39,142
12,98,55,92
13,98,171,270
14,42,119,280
15,14,111,277
16,62,47,268
17,26,107,242
18,6,119,20
19,54,119,264
20,86,163,243
21,58,15,101
22,22,27,128
23,18,63,331
24,30,139,25
25,50,27,190
26,74,135,348
27,62,51,130
28,54,143,148
29,10,155,127
30,90,95,127
31,78,123,50
32,38,119,332
33,90,-1,121
34,62,171,190
35,94,139,132
36,102,147,225
37,18,7,330
38,94,87,265
39,98,91,325
40,10,47,90
41,30,171,217
42,74,119,46
43,58,67,307
44,38,75,103
45,66,115,44
46,110,115,35
47,46,79,242
48,94,39,184
49,42,59,25
