,X,Y,Azimuth
0,135,102,14
1,107,250,332
2,43,310,198
3,187,70,196
4,255,202,189
5,27,62,284
6,79,86,64
7,15,342,167
8,119,122,254
9,259,134,156
10,39,178,217
11,111,290,142
12,123,250,92
13,215,6,270
14,255,26,280
15,235,326,277
16,187,42,268
17,263,306,242
18,271,274,20
19,183,170,264
20,127,74,243
21,267,210,101
22,227,178,128
23,119,26,331
24,11,358,25
25,35,162,190
26,247,182,348
27,75,194,130
28,239,134,148
29,127,178,127
30,7,102,127
31,39,86,50
32,135,178,332
33,191,18,121
34,227,246,190
35,187,322,132
36,59,182,225
37,211,150,330
38,123,306,265
39,183,238,325
40,147,290,90
41,187,194,217
42,127,302,46
43,75,218,307
44,71,174,103
45,211,154,44
46,71,126,35
47,99,178,242
48,163,158,184
49,23,222,25
