,X,Y,Azimuth
0,122,69,14
1,94,169,332
2,38,209,198
3,170,45,196
4,234,133,189
5,22,41,284
6,70,57,64
7,14,229,167
8,106,81,254
9,234,89,156
10,38,121,217
11,98,197,142
12,110,169,92
13,194,1,270
14,230,17,280
15,214,221,277
16,170,25,268
17,238,209,242
18,246,185,20
19,166,113,264
20,118,49,243
21,242,141,101
22,206,117,128
23,110,17,331
24,10,241,25
25,30,109,190
26,226,121,348
27,66,129,130
28,218,89,148
29,114,117,127
30,6,69,127
31,34,57,50
32,122,121,332
33,174,9,121
34,206,165,190
35,170,217,132
36,54,121,225
37,194,101,330
38,110,209,265
39,166,157,325
40,130,197,90
41,170,133,217
42,114,201,46
43,66,149,307
44,62,117,103
45,190,105,44
46,62,85,35
47,90,121,242
48,150,105,184
49,18,149,25
