,X,Y,Azimuth
0,58,47,14
1,46,119,332
2,22,151,198
3,82,31,196
4,110,95,189
5,14,27,284
6,34,43,64
7,10,163,167
8,54,59,254
9,114,63,156
10,18,87,217
11,50,139,142
12,54,119,92
13,94,3,270
14,110,11,280
15,102,155,277
16,82,19,268
17,114,147,242
18,118,131,20
19,78,79,264
20,58,35,243
21,114,99,101
22,98,83,128
23,54,11,331
24,6,171,25
25,18,79,190
26,106,87,348
27,34,95,130
28,106,63,148
29,58,83,127
30,6,47,127
31,18,39,50
32,58,87,332
33,82,7,121
34,98,119,190
35,82,155,132
36,26,87,225
37,94,71,330
38,54,147,265
39,82,115,325
40,62,139,90
41,82,95,217
42,54,143,46
43,34,103,307
44,30,83,103
45,90,75,44
46,30,59,35
47,42,87,242
48,70,75,184
49,10,107,25
