,X,Y,Azimuth
0,273,143,14
1,493,63,332
2,281,275,198
3,53,455,196
4,425,387,189
5,429,255,284
6,89,207,64
7,25,555,167
8,341,55,254
9,345,379,156
10,313,15,217
11,485,143,142
12,417,187,92
13,417,583,270
14,165,399,280
15,53,383,277
16,265,163,268
17,97,363,242
18,17,415,20
19,221,411,264
20,373,559,243
21,237,51,101
22,81,91,128
23,65,223,331
24,117,471,25
25,209,99,190
26,313,467,348
27,257,179,130
28,217,483,148
29,33,523,127
30,389,327,127
31,337,423,50
32,145,411,332
33,381,7,121
34,269,583,190
35,393,475,132
36,441,507,225
37,65,35,330
38,397,303,265
39,409,307,325
40,29,159,90
41,121,587,217
42,305,407,46
43,249,227,307
44,153,255,103
45,269,395,44
46,473,399,35
47,193,275,242
48,401,143,184
49,169,207,25
