,X,Y,Azimuth
0,139,55,14
1,247,23,332
2,143,107,198
3,27,179,196
4,215,151,189
5,215,99,284
6,47,79,64
7,15,219,167
8,171,19,254
9,175,147,156
10,159,3,217
11,243,55,142
12,207,71,92
13,207,231,270
14,87,159,280
15,31,151,277
16,135,63,268
17,51,143,242
18,11,163,20
19,111,163,264
20,187,223,243
21,119,19,101
22,43,35,128
23,35,87,331
24,59,187,25
25,107,35,190
26,159,183,348
27,131,71,130
28,111,191,148
29,19,207,127
30,195,127,127
31,167,167,50
32,75,163,332
33,191,-1,121
34,135,231,190
35,195,187,132
36,223,199,225
37,35,11,330
38,199,119,265
39,207,119,325
40,19,63,90
41,63,231,217
42,155,159,46
43,127,87,307
44,79,99,103
45,135,155,44
46,235,155,35
47,99,107,242
48,203,55,184
49,87,79,25
