,X,Y,Azimuth
0,18,256,14
1,82,288,332
2,78,272,198
3,98,196,196
4,90,72,189
5,222,196,284
6,194,320,64
7,174,156,167
8,250,348,254
9,18,96,156
10,110,100,217
11,230,164,142
12,158,224,92
13,106,164,270
14,10,348,280
15,230,8,277
16,294,304,268
17,254,352,242
18,22,240,20
19,258,108,264
20,270,288,243
21,222,300,101
22,102,352,128
23,150,8,331
24,102,248,25
25,18,184,190
26,150,332,348
27,42,244,130
28,218,192,148
29,274,28,127
30,42,64,127
31,290,160,50
32,218,104,332
33,242,348,121
34,274,228,190
35,254,268,132
36,218,8,225
37,254,132,330
38,298,120,265
39,118,340,325
40,258,176,90
41,162,252,217
42,54,40,46
43,190,96,307
44,262,320,103
45,130,280,44
46,86,120,35
47,126,160,242
48,278,52,184
49,146,76,25
