,X,Y,Azimuth
0,144,71,14
1,256,31,332
2,148,135,198
3,28,227,196
4,224,191,189
5,224,127,284
6,48,103,64
7,12,275,167
8,180,27,254
9,180,187,156
10,164,7,217
11,256,71,142
12,216,91,92
13,220,291,270
14,88,199,280
15,28,191,277
16,140,79,268
17,52,179,242
18,8,207,20
19,116,203,264
20,196,279,243
21,124,23,101
22,40,43,128
23,36,111,331
24,60,235,25
25,108,47,190
26,164,231,348
27,136,87,130
28,112,239,148
29,20,259,127
30,204,163,127
31,176,211,50
32,76,203,332
33,200,3,121
34,140,291,190
35,204,235,132
36,232,251,225
37,36,15,330
38,208,151,265
39,216,151,325
40,16,79,90
41,64,291,217
42,160,203,46
43,132,111,307
44,80,127,103
45,140,195,44
46,248,199,35
47,100,135,242
48,212,71,184
49,88,103,25
