,X,Y,Azimuth
0,228,97,14
1,176,237,332
2,68,297,198
3,316,65,196
4,436,189,189
5,40,57,284
6,128,81,64
7,20,325,167
8,196,117,254
9,440,129,156
10,64,169,217
11,180,277,142
12,204,237,92
13,360,5,270
14,432,25,280
15,400,309,277
16,316,37,268
17,444,293,242
18,456,257,20
19,308,161,264
20,216,69,243
21,452,197,101
22,380,169,128
23,200,25,331
24,16,341,25
25,56,153,190
26,420,173,348
27,124,185,130
28,404,125,148
29,212,169,127
30,8,97,127
31,60,81,50
32,224,169,332
33,324,17,121
34,384,237,190
35,316,305,132
36,96,173,225
37,356,145,330
38,204,293,265
39,312,225,325
40,244,277,90
41,316,185,217
42,208,285,46
43,120,209,307
44,112,165,103
45,356,145,44
46,116,121,35
47,160,169,242
48,276,149,184
49,32,209,25
