,X,Y,Azimuth
0,18,177,14
1,66,197,332
2,66,185,198
3,82,133,196
4,74,45,189
5,178,133,284
6,158,221,64
7,138,105,167
8,198,237,254
9,14,61,156
10,90,69,217
11,182,109,142
12,126,153,92
13,86,113,270
14,10,237,280
15,182,1,277
16,234,209,268
17,202,241,242
18,18,161,20
19,206,73,264
20,214,197,243
21,178,205,101
22,82,241,128
23,122,5,331
24,82,169,25
25,14,125,190
26,122,225,348
27,34,165,130
28,174,129,148
29,218,17,127
30,34,41,127
31,230,109,50
32,174,69,332
33,194,241,121
34,218,153,190
35,202,185,132
36,174,1,225
37,202,89,330
38,238,81,265
39,94,233,325
40,206,121,90
41,130,173,217
42,42,25,46
43,150,61,307
44,206,221,103
45,102,193,44
46,70,77,35
47,98,109,242
48,222,33,184
49,118,49,25
