,X,Y,Azimuth
0,259,162,14
1,199,394,332
2,83,486,198
3,359,110,196
4,495,314,189
5,47,98,284
6,147,138,64
7,23,534,167
8,223,194,254
9,499,210,156
10,75,282,217
11,207,454,142
12,231,390,92
13,411,14,270
14,491,42,280
15,455,510,277
16,359,66,268
17,503,482,242
18,519,426,20
19,351,266,264
20,247,118,243
21,515,326,101
22,435,278,128
23,231,42,331
24,19,562,25
25,63,254,190
26,475,286,348
27,139,306,130
28,459,210,148
29,243,278,127
30,11,162,127
31,71,134,50
32,255,282,332
33,367,34,121
34,435,390,190
35,359,502,132
36,111,290,225
37,407,238,330
38,231,482,265
39,355,370,325
40,275,454,90
41,359,310,217
42,239,470,46
43,139,346,307
44,131,274,103
45,403,246,44
46,131,198,35
47,183,282,242
48,311,246,184
49,35,346,25
