,X,Y,Azimuth
0,14,131,14
1,50,147,332
2,50,139,198
3,62,103,196
4,58,39,189
5,138,103,284
6,122,163,64
7,106,79,167
8,154,175,254
9,10,51,156
10,70,55,217
11,142,87,142
12,98,115,92
13,66,87,270
14,6,179,280
15,142,7,277
16,182,155,268
17,158,179,242
18,14,123,20
19,162,59,264
20,170,147,243
21,138,155,101
22,66,179,128
23,94,7,331
24,66,127,25
25,14,95,190
26,94,171,348
27,26,123,130
28,138,99,148
29,170,15,127
30,26,35,127
31,178,83,50
32,134,55,332
33,150,179,121
34,170,115,190
35,158,139,132
36,134,7,225
37,158,71,330
38,186,63,265
39,74,175,325
40,162,91,90
41,102,131,217
42,34,23,46
43,118,51,307
44,162,163,103
45,82,143,44
46,54,63,35
47,78,83,242
48,174,27,184
49,90,39,25
