,X,Y,Azimuth
0,134,57,14
1,242,21,332
2,138,109,198
3,26,185,196
4,210,157,189
5,210,101,284
6,46,81,64
7,14,229,167
8,170,21,254
9,170,153,156
10,154,1,217
11,238,57,142
12,202,73,92
13,206,241,270
14,82,165,280
15,30,157,277
16,130,65,268
17,50,149,242
18,10,169,20
19,110,169,264
20,182,229,243
21,118,17,101
22,42,33,128
23,34,89,331
24,58,193,25
25,102,37,190
26,154,193,348
27,126,73,130
28,106,201,148
29,18,213,127
30,190,133,127
31,166,173,50
32,74,169,332
33,186,-3,121
34,134,241,190
35,194,193,132
36,218,209,225
37,34,9,330
38,194,121,265
39,202,125,325
40,18,61,90
41,62,241,217
42,150,165,46
43,122,89,307
44,78,101,103
45,134,161,44
46,234,161,35
47,94,113,242
48,198,57,184
49,86,81,25
