,X,Y,Azimuth
0,217,110,14
1,393,46,332
2,225,214,198
3,41,354,196
4,341,302,189
5,341,198,284
6,69,162,64
7,21,434,167
8,273,42,254
9,277,294,156
10,249,10,217
11,389,110,142
12,333,146,92
13,333,454,270
14,133,314,280
15,45,298,277
16,213,126,268
17,77,282,242
18,13,322,20
19,177,322,264
20,297,438,243
21,189,38,101
22,65,70,128
23,53,174,331
24,93,366,25
25,165,74,190
26,253,366,348
27,205,138,130
28,173,378,148
29,29,406,127
30,309,254,127
31,269,330,50
32,117,322,332
33,305,2,121
34,213,458,190
35,313,370,132
36,353,394,225
37,53,26,330
38,317,234,265
39,329,238,325
40,25,122,90
41,97,458,217
42,241,318,46
43,201,174,307
44,121,198,103
45,213,310,44
46,377,310,35
47,153,214,242
48,321,110,184
49,137,162,25
