,X,Y,Azimuth
0,25,334,14
1,105,374,332
2,101,354,198
3,129,254,196
4,117,90,189
5,289,254,284
6,253,418,64
7,225,202,167
8,325,450,254
9,17,122,156
10,141,130,217
11,301,214,142
12,205,290,92
13,137,214,270
14,9,450,280
15,297,10,277
16,385,398,268
17,333,458,242
18,25,310,20
19,333,142,264
20,353,374,243
21,289,390,101
22,133,458,128
23,197,10,331
24,133,322,25
25,21,242,190
26,193,430,348
27,49,314,130
28,285,250,148
29,357,34,127
30,53,82,127
31,377,206,50
32,281,134,332
33,313,454,121
34,357,294,190
35,329,350,132
36,281,10,225
37,333,174,330
38,389,154,265
39,153,442,325
40,337,230,90
41,209,330,217
42,69,50,46
43,245,122,307
44,337,418,103
45,165,366,44
46,109,154,35
47,161,210,242
48,361,66,184
49,189,98,25
