,X,Y,Azimuth
0,230,94,14
1,418,42,332
2,238,182,198
3,46,306,196
4,362,258,189
5,362,170,284
6,74,138,64
7,22,374,167
8,290,38,254
9,294,254,156
10,266,6,217
11,414,94,142
12,350,126,92
13,354,390,270
14,142,270,280
15,46,258,277
16,226,110,268
17,82,242,242
18,14,278,20
19,190,278,264
20,314,374,243
21,198,34,101
22,70,62,128
23,58,150,331
24,98,314,25
25,178,62,190
26,266,314,348
27,218,118,130
28,182,326,148
29,30,350,127
30,330,218,127
31,286,282,50
32,126,274,332
33,322,2,121
34,226,394,190
35,334,318,132
36,374,338,225
37,58,22,330
38,338,202,265
39,350,206,325
40,26,106,90
41,102,394,217
42,258,274,46
43,214,150,307
44,130,170,103
45,226,266,44
46,402,266,35
47,166,186,242
48,342,94,184
49,146,138,25
