,X,Y,Azimuth
0,147,86,14
1,263,38,332
2,151,166,198
3,31,278,196
4,231,234,189
5,231,154,284
6,51,126,64
7,15,338,167
8,183,34,254
9,187,230,156
10,171,6,217
11,263,86,142
12,223,114,92
13,223,358,270
14,91,246,280
15,31,234,277
16,143,98,268
17,55,218,242
18,11,254,20
19,119,250,264
20,203,342,243
21,127,30,101
22,47,54,128
23,39,134,331
24,67,286,25
25,115,58,190
26,171,286,348
27,139,106,130
28,119,294,148
29,23,318,127
30,211,198,127
31,183,258,50
32,83,250,332
33,207,2,121
34,147,358,190
35,211,290,132
36,239,310,225
37,39,18,330
38,215,182,265
39,223,186,325
40,19,94,90
41,67,358,217
42,163,246,46
43,135,138,307
44,83,154,103
45,147,242,44
46,255,242,35
47,107,170,242
48,215,86,184
49,95,126,25
