,X,Y,Azimuth
0,19,262,14
1,71,294,332
2,71,274,198
3,87,198,196
4,79,70,189
5,195,198,284
6,171,326,64
7,151,158,167
8,219,350,254
9,15,94,156
10,99,102,217
11,203,166,142
12,139,226,92
13,95,166,270
14,11,354,280
15,203,6,277
16,259,310,268
17,223,358,242
18,19,242,20
19,227,110,264
20,239,294,243
21,195,306,101
22,91,358,128
23,135,6,331
24,91,250,25
25,15,186,190
26,131,334,348
27,35,246,130
28,191,194,148
29,239,26,127
30,39,66,127
31,255,162,50
32,191,106,332
33,211,354,121
34,239,230,190
35,223,274,132
36,191,6,225
37,223,134,330
38,263,122,265
39,103,346,325
40,227,178,90
41,143,258,217
42,47,38,46
43,167,94,307
44,227,326,103
45,115,286,44
46,75,118,35
47,111,162,242
48,243,50,184
49,131,78,25
