,X,Y,Azimuth
0,11,122,14
1,31,138,332
2,31,130,198
3,35,94,196
4,31,30,189
5,75,94,284
6,67,150,64
7,59,74,167
8,83,166,254
9,7,42,156
10,39,46,217
11,79,78,142
12,55,106,92
13,39,78,270
14,7,166,280
15,79,2,277
16,99,146,268
17,87,166,242
18,11,114,20
19,87,50,264
20,91,138,243
21,75,142,101
22,35,166,128
23,51,2,331
24,39,118,25
25,11,86,190
26,51,158,348
27,15,114,130
28,75,90,148
29,91,10,127
30,19,30,127
31,95,74,50
32,75,46,332
33,83,166,121
34,91,106,190
35,87,126,132
36,75,2,225
37,87,62,330
38,99,54,265
39,43,162,325
40,87,82,90
41,55,118,217
42,19,18,46
43,63,42,307
44,87,154,103
45,43,134,44
46,31,54,35
47,43,74,242
48,91,22,184
49,51,34,25
