,X,Y,Azimuth
0,182,83,14
1,326,35,332
2,186,159,198
3,34,267,196
4,282,227,189
5,282,147,284
6,58,119,64
7,18,327,167
8,226,31,254
9,230,219,156
10,206,7,217
11,322,83,142
12,274,107,92
13,274,343,270
14,110,235,280
15,38,223,277
16,178,95,268
17,66,211,242
18,14,243,20
19,146,243,264
20,246,327,243
21,158,31,101
22,54,51,128
23,46,131,331
24,78,275,25
25,138,55,190
26,210,275,348
27,170,103,130
28,142,283,148
29,26,307,127
30,258,191,127
31,222,247,50
32,98,239,332
33,250,3,121
34,178,343,190
35,258,279,132
36,294,295,225
37,46,19,330
38,262,175,265
39,270,179,325
40,22,91,90
41,82,343,217
42,202,239,46
43,166,131,307
44,102,147,103
45,178,231,44
46,314,231,35
47,130,163,242
48,266,83,184
49,114,119,25
