,X,Y,Azimuth
0,249,171,14
1,193,411,332
2,77,511,198
3,345,115,196
4,477,327,189
5,45,103,284
6,141,147,64
7,21,559,167
8,217,203,254
9,481,223,156
10,69,295,217
11,201,475,142
12,225,407,92
13,397,15,270
14,473,47,280
15,437,531,277
16,349,71,268
17,485,503,242
18,501,447,20
19,337,279,264
20,237,123,243
21,497,343,101
22,417,291,128
23,221,43,331
24,17,587,25
25,61,267,190
26,457,299,348
27,133,319,130
28,445,219,148
29,233,291,127
30,9,171,127
31,65,143,50
32,245,295,332
33,353,35,121
34,421,407,190
35,349,527,132
36,105,303,225
37,393,247,330
38,225,503,265
39,341,387,325
40,265,475,90
41,349,323,217
42,229,491,46
43,133,359,307
44,125,287,103
45,389,255,44
46,125,207,35
47,177,295,242
48,301,259,184
49,33,363,25
