,X,Y,Azimuth
0,154,104,14
1,118,248,332
2,50,304,198
3,214,68,196
4,294,196,189
5,30,64,284
6,90,88,64
7,14,336,167
8,134,124,254
9,294,132,156
10,46,176,217
11,122,288,142
12,138,244,92
13,242,8,270
14,290,28,280
15,270,320,277
16,214,40,268
17,298,304,242
18,306,268,20
19,206,168,264
20,146,76,243
21,306,204,101
22,258,176,128
23,138,28,331
24,14,352,25
25,38,160,190
26,282,180,348
27,86,192,130
28,274,132,148
29,146,176,127
30,10,104,127
31,42,84,50
32,154,176,332
33,218,20,121
34,258,244,190
35,214,316,132
36,66,180,225
37,242,148,330
38,138,304,265
39,210,232,325
40,166,284,90
41,214,192,217
42,142,296,46
43,82,216,307
44,78,172,103
45,242,152,44
46,78,124,35
47,110,176,242
48,186,156,184
49,22,216,25
