,X,Y,Azimuth
0,47,28,14
1,35,64,332
2,19,80,198
3,63,16,196
4,83,52,189
5,11,16,284
6,27,24,64
7,7,88,167
8,39,32,254
9,83,36,156
10,15,48,217
11,39,76,142
12,43,64,92
13,71,0,270
14,83,4,280
15,75,84,277
16,63,8,268
17,83,80,242
18,87,72,20
19,59,44,264
20,43,20,243
21,87,56,101
22,75,44,128
23,39,4,331
24,7,92,25
25,15,40,190
26,79,48,348
27,27,52,130
28,79,36,148
29,43,44,127
30,7,28,127
31,15,20,50
32,43,48,332
33,63,4,121
34,75,64,190
35,63,84,132
36,23,48,225
37,67,40,330
38,43,80,265
39,59,60,325
40,47,76,90
41,63,52,217
42,43,80,46
43,27,56,307
44,27,44,103
45,67,40,44
46,27,32,35
47,35,48,242
48,55,40,184
49,11,56,25
