,X,Y,Azimuth
0,13,125,14
1,57,141,332
2,57,133,198
3,69,97,196
4,65,33,189
5,157,97,284
6,137,157,64
7,121,73,167
8,177,169,254
9,13,45,156
10,77,49,217
11,161,81,142
12,113,109,92
13,77,81,270
14,5,173,280
15,161,1,277
16,209,149,268
17,181,173,242
18,13,117,20
19,181,53,264
20,189,141,243
21,157,149,101
22,73,173,128
23,109,1,331
24,73,121,25
25,13,89,190
26,105,165,348
27,29,117,130
28,157,93,148
29,193,9,127
30,29,29,127
31,205,77,50
32,153,49,332
33,169,173,121
34,193,109,190
35,181,133,132
36,153,1,225
37,181,65,330
38,209,57,265
39,85,169,325
40,181,85,90
41,113,125,217
42,37,17,46
43,133,45,307
44,185,157,103
45,89,137,44
46,61,57,35
47,89,77,242
48,197,21,184
49,105,33,25
