,X,Y,Azimuth
0,170,88,14
1,302,36,332
2,174,164,198
3,34,272,196
4,262,232,189
5,262,152,284
6,54,124,64
7,18,336,167
8,210,36,254
9,214,228,156
10,194,8,217
11,298,88,142
12,254,112,92
13,254,352,270
14,102,240,280
15,34,232,277
16,166,100,268
17,62,216,242
18,10,248,20
19,138,248,264
20,230,336,243
21,146,32,101
22,50,56,128
23,42,132,331
24,74,284,25
25,130,60,190
26,194,280,348
27,158,108,130
28,134,292,148
29,22,312,127
30,238,196,127
31,206,252,50
32,90,248,332
33,234,4,121
34,166,352,190
35,242,284,132
36,270,304,225
37,42,20,330
38,246,180,265
39,254,184,325
40,18,96,90
41,74,352,217
42,186,244,46
43,154,136,307
44,94,152,103
45,166,240,44
46,290,240,35
47,118,168,242
48,246,84,184
49,106,124,25
