,X,Y,Azimuth
0,17,302,14
1,65,342,332
2,65,322,198
3,81,234,196
4,73,82,189
5,181,234,284
6,157,382,64
7,141,182,167
8,201,410,254
9,13,114,156
10,89,118,217
11,185,194,142
12,129,266,92
13,85,194,270
14,9,414,280
15,185,10,277
16,237,362,268
17,205,418,242
18,17,282,20
19,209,130,264
20,217,342,243
21,181,354,101
22,85,418,128
23,121,10,331
24,85,294,25
25,13,218,190
26,121,394,348
27,33,286,130
28,177,226,148
29,221,30,127
30,33,74,127
31,233,190,50
32,173,122,332
33,193,414,121
34,221,270,190
35,205,318,132
36,177,10,225
37,205,158,330
38,241,142,265
39,93,402,325
40,209,210,90
41,129,298,217
42,45,46,46
43,153,110,307
44,209,382,103
45,105,334,44
46,69,138,35
47,101,190,242
48,225,58,184
49,117,90,25
